"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 15, 2017","93.76","93.39","94.04","93.34","23.01K","0.48"
"Aug 14, 2017","93.31","92.98","93.39","92.94","13.44K","0.38"
"Aug 11, 2017","92.96","93.30","93.42","92.83","28.53K","-0.36"
"Aug 10, 2017","93.30","93.39","93.70","93.21","17.31K","-0.14"
"Aug 09, 2017","93.43","93.47","93.78","93.36","20.18K","-0.10"
"Aug 08, 2017","93.52","93.28","93.77","93.12","20.30K","0.23"
"Aug 07, 2017","93.31","93.38","93.42","93.17","13.48K","-0.12"
"Aug 04, 2017","93.42","92.61","93.64","92.58","31.04K","0.77"
"Aug 03, 2017","92.71","92.78","92.91","92.56","21.58K","0.01"
"Aug 02, 2017","92.70","92.91","93.03","92.39","20.52K","-0.22"
"Aug 01, 2017","92.90","92.81","92.97","92.64","18.71K","0.19"
"Jul 31, 2017","92.72","93.17","93.39","92.64","29.88K","-0.42"
"Jul 28, 2017","93.11","93.67","93.80","93.10","24.44K","-0.65"
"Jul 27, 2017","93.72","93.33","93.95","93.00","33.81K","0.24"
"Jul 26, 2017","93.50","93.95","94.11","93.22","30.05K","-0.42"
"Jul 25, 2017","93.89","93.85","93.96","93.46","23.12K","0.10"
"Jul 24, 2017","93.80","93.78","93.94","93.65","13.39K","0.13"
"Jul 21, 2017","93.68","94.11","94.17","93.67","15.57K","-0.47"
"Jul 20, 2017","94.12","94.56","94.98","93.89","48.23K","-0.50"
"Jul 19, 2017","94.59","94.47","94.69","94.44","11.88K","0.20"
"Jul 18, 2017","94.40","94.95","94.97","94.28","33.62K","-0.53"
"Jul 17, 2017","94.90","94.89","95.12","94.80","12.28K","-0.03"
"Jul 14, 2017","94.93","95.55","95.61","94.87","23.34K","-0.61"
"Jul 13, 2017","95.51","95.53","95.69","95.25","18.65K","0.00"
"Jul 12, 2017","95.51","95.42","95.75","95.28","20.85K","0.09"
"Jul 11, 2017","95.42","95.83","95.96","95.41","16.46K","-0.38"
"Jul 10, 2017","95.78","95.80","95.94","95.69","20.01K","-0.01"
"Jul 07, 2017","95.79","95.58","95.93","95.53","20.49K","0.22"
"Jul 06, 2017","95.58","96.00","96.11","95.56","14.27K","-0.50"
"Jul 05, 2017","96.06","95.91","96.25","95.83","19.13K","0.09"
"Jul 04, 2017","95.97","95.89","96.08","95.81","7.55K","0.00"
"Jul 03, 2017","95.97","95.41","96.00","95.39","19.92K","0.58"
"Jun 30, 2017","95.42","95.31","95.56","95.22","20.29K","0.05"
"Jun 29, 2017","95.37","95.77","95.78","95.27","22.61K","-0.39"
"Jun 28, 2017","95.74","96.17","96.32","95.67","39.80K","-0.36"
"Jun 27, 2017","96.09","97.12","97.16","96.05","33.76K","-1.06"
"Jun 26, 2017","97.12","96.94","97.16","96.81","15.45K","0.19"
"Jun 23, 2017","96.94","97.25","97.30","96.86","14.01K","-0.37"
"Jun 22, 2017","97.30","97.22","97.35","97.11","27.55K","0.08"
"Jun 21, 2017","97.22","97.39","97.47","97.18","14.39K","-0.20"
"Jun 20, 2017","97.41","97.28","97.52","97.14","30.22K","0.08"
"Jun 19, 2017","97.33","97.11","97.34","97.05","1.08K","0.19"
"Jun 16, 2017","97.15","97.48","97.55","97.09","19.11K","-0.30"
"Jun 15, 2017","97.44","96.91","97.56","96.84","21.80K","0.54"
"Jun 14, 2017","96.92","97.00","97.11","96.31","57.20K","-0.02"
"Jun 13, 2017","96.94","97.17","97.26","96.92","21.80K","-0.19"
"Jun 12, 2017","97.12","97.23","97.30","97.02","24.18K","-0.12"
"Jun 09, 2017","97.24","97.26","97.47","97.12","29.76K","0.35"
"Jun 08, 2017","96.90","96.69","97.14","96.56","33.92K","0.20"
"Jun 07, 2017","96.71","96.56","96.94","96.45","24.75K","0.12"
"Jun 06, 2017","96.59","96.75","96.75","96.47","18.62K","-0.17"
"Jun 05, 2017","96.75","96.67","96.93","96.64","14.97K","0.08"
"Jun 02, 2017","96.67","97.17","97.26","96.58","29.20K","-0.48"
"Jun 01, 2017","97.14","96.95","97.27","96.85","16.41K","0.30"
"May 31, 2017","96.85","97.36","97.42","96.80","27.26K","-0.37"
"May 30, 2017","97.21","97.61","97.70","97.14","27.99K","-0.15"
"May 29, 2017","97.36","97.32","97.44","97.25","5.30K","0.00"
"May 26, 2017","97.36","97.15","97.47","96.97","24.10K","0.19"
"May 25, 2017","97.18","96.90","97.20","96.81","21.26K","0.03"
"May 24, 2017","97.15","97.32","97.38","96.94","31.82K","-0.11"
"May 23, 2017","97.26","96.83","97.32","96.70","34.01K","0.39"
"May 22, 2017","96.88","97.03","97.33","96.70","24.31K","-0.15"
"May 19, 2017","97.03","97.72","97.74","96.97","26.38K","-0.76"
"May 18, 2017","97.77","97.41","97.97","97.28","46.22K","0.32"
"May 17, 2017","97.46","97.99","98.01","97.33","29.34K","-0.55"
"May 16, 2017","98.00","98.76","98.77","97.97","32.80K","-0.81"
"May 15, 2017","98.80","99.06","99.14","98.67","18.48K","-0.33"
"May 12, 2017","99.13","99.53","99.58","99.03","24.67K","-0.37"
"May 11, 2017","99.50","99.56","99.77","99.38","18.32K","-0.06"
"May 10, 2017","99.56","99.34","99.61","99.25","21.26K","0.02"
"May 09, 2017","99.54","99.02","99.56","98.96","29.65K","0.61"
"May 08, 2017","98.94","98.37","99.06","98.36","29.51K","0.42"
"May 05, 2017","98.53","98.63","98.89","98.41","24.98K","-0.12"
"May 04, 2017","98.65","99.23","99.34","98.56","31.36K","-0.43"
"May 03, 2017","99.08","98.77","99.27","98.75","27.17K","0.25"
